Order,Seasonal order,Result
"(0, 0, 0)","(0, 0, 0, 12)",92475.69513469776
"(0, 0, 0)","(0, 0, 1, 12)",88058.92590418231
"(0, 0, 0)","(0, 0, 2, 12)",85089.542039099
"(0, 0, 0)","(0, 1, 0, 12)",91311.69022724398
"(0, 0, 0)","(0, 1, 1, 12)",73867.73217928424
"(0, 0, 0)","(0, 1, 2, 12)",73746.04299446437
"(0, 0, 0)","(0, 2, 0, 12)",117842.98623152966
"(0, 0, 0)","(0, 2, 1, 12)",91325.24357968659
"(0, 0, 0)","(0, 2, 2, 12)",73949.49575605716
"(0, 0, 0)","(1, 0, 0, 12)",84662.51111113651
"(0, 0, 0)","(1, 0, 1, 12)",73900.14390463929
"(0, 0, 0)","(1, 0, 2, 12)",73781.09002532372
"(0, 0, 0)","(1, 1, 0, 12)",84684.73921987807
"(0, 0, 0)","(1, 1, 1, 12)",73799.11905153762
"(0, 0, 0)","(1, 1, 2, 12)",70846.8335460609
"(0, 0, 0)","(1, 2, 0, 12)",103734.30685601386
"(0, 0, 0)","(1, 2, 1, 12)",84745.2309889119
"(0, 0, 0)","(1, 2, 2, 12)",73884.57525705252
"(0, 0, 0)","(2, 0, 0, 12)",81895.77551932371
"(0, 0, 0)","(2, 0, 1, 12)",73800.54910455475
"(0, 0, 0)","(2, 0, 2, 12)",70880.522676438
"(0, 0, 0)","(2, 1, 0, 12)",82085.54702500039
"(0, 0, 0)","(2, 1, 1, 12)",73549.80124458087
"(0, 0, 0)","(2, 1, 2, 12)",70718.15033842421
"(0, 0, 0)","(2, 2, 0, 12)",100644.09449447558
"(0, 0, 0)","(2, 2, 1, 12)",82150.50977499282
"(0, 0, 0)","(2, 2, 2, 12)",73679.37919174094
"(0, 0, 1)","(0, 0, 0, 12)",69864.72340344856
"(0, 0, 1)","(0, 0, 1, 12)",66903.53836889387
"(0, 0, 1)","(0, 0, 2, 12)",65194.13234230847
"(0, 0, 1)","(0, 1, 0, 12)",73247.76854310768
"(0, 0, 1)","(0, 1, 1, 12)",55947.10684146354
"(0, 0, 1)","(0, 1, 2, 12)",55870.2884243287
"(0, 0, 1)","(0, 2, 0, 12)",99811.99381345132
"(0, 0, 1)","(0, 2, 1, 12)",73279.79989187652
"(0, 0, 1)","(0, 2, 2, 12)",56045.447774231
"(0, 0, 1)","(1, 0, 0, 12)",65068.904165836604
"(0, 0, 1)","(1, 0, 1, 12)",55967.497954755076
"(0, 0, 1)","(1, 0, 2, 12)",55895.75344868326
"(0, 0, 1)","(1, 1, 0, 12)",66576.03739061276
"(0, 0, 1)","(1, 1, 1, 12)",55905.18449672722
"(0, 0, 1)","(1, 1, 2, 12)",53723.408384461385
"(0, 0, 1)","(1, 2, 0, 12)",85703.26110668774
"(0, 0, 1)","(1, 2, 1, 12)",66642.9795763581
"(0, 0, 1)","(1, 2, 2, 12)",56007.90227148052
"(0, 0, 1)","(2, 0, 0, 12)",63021.53170117675
"(0, 0, 1)","(2, 0, 1, 12)",55905.88182103225
"(0, 0, 1)","(2, 0, 2, 12)",53746.97272417302
"(0, 0, 1)","(2, 1, 0, 12)",63920.13234948082
"(0, 0, 1)","(2, 1, 1, 12)",55759.286711814566
"(0, 0, 1)","(2, 1, 2, 12)",53664.877991930145
"(0, 0, 1)","(2, 2, 0, 12)",81922.35988460151
"(0, 0, 1)","(2, 2, 1, 12)",63994.08143096011
"(0, 0, 1)","(2, 2, 2, 12)",55903.34762926124
"(0, 0, 2)","(0, 0, 0, 12)",58658.242847280446
"(0, 0, 2)","(0, 0, 1, 12)",57186.475395828995
"(0, 0, 2)","(0, 0, 2, 12)",56233.04800341433
"(0, 0, 2)","(0, 1, 0, 12)",66291.14585408085
"(0, 0, 2)","(0, 1, 1, 12)",48760.733831897494
"(0, 0, 2)","(0, 1, 2, 12)",48671.964022298605
"(0, 0, 2)","(0, 2, 0, 12)",92947.913606321
"(0, 0, 2)","(0, 2, 1, 12)",66326.55235546017
"(0, 0, 2)","(0, 2, 2, 12)",48863.7238513598
"(0, 0, 2)","(1, 0, 0, 12)",56391.52462152982
"(0, 0, 2)","(1, 0, 1, 12)",48777.22381792999
"(0, 0, 2)","(1, 0, 2, 12)",48697.29404880633
"(0, 0, 2)","(1, 1, 0, 12)",59434.7373558228
"(0, 0, 2)","(1, 1, 1, 12)",48706.431116629145
"(0, 0, 2)","(1, 1, 2, 12)",47095.152236040914
"(0, 0, 2)","(1, 2, 0, 12)",78746.19933205047
"(0, 0, 2)","(1, 2, 1, 12)",59502.616576002685
"(0, 0, 2)","(1, 2, 2, 12)",48814.788917324244
"(0, 0, 2)","(2, 0, 0, 12)",54936.07614301672
"(0, 0, 2)","(2, 0, 1, 12)",48708.63838743922
"(0, 0, 2)","(2, 0, 2, 12)",47225.222701740786
