Date,Value
2011-06-15 07:31:57.311102,1
2011-06-15 07:54:40.034383,2
2011-06-15 08:52:55.162734,3
2011-06-15 08:55:31.805826,2
2011-06-15 09:05:12.401376,3
2011-06-15 09:07:47.089284,2
2011-06-15 09:20:13.684008,1
2011-06-15 09:20:36.173807,0
2011-06-15 09:22:52.843261,1
2011-06-15 09:59:19.945644,0
2011-06-15 09:59:49.313060,1
2011-06-15 10:06:21.982678,0
2011-06-15 12:48:54.346003,1
2011-06-15 13:07:06.406809,0
2011-06-15 13:15:52.582494,1
2011-06-15 13:16:54.654117,0
2011-06-15 15:14:06.612532,1
2011-06-15 15:15:42.834775,0
2011-06-15 16:03:56.911714,1
2011-06-15 16:12:38.938652,0
2011-06-15 16:12:40.153053,1
2011-06-15 16:12:40.731162,0
2011-06-15 16:47:57.028569,1
2011-06-15 16:49:37.438915,2
2011-06-15 16:51:39.741747,1
2011-06-15 16:51:44.171979,0
2011-06-15 16:52:27.676499,1
2011-06-15 16:56:06.901976,0
2011-06-15 16:56:07.948138,1
2011-06-15 16:56:10.591895,0
2011-06-15 18:49:26.574900,1
2011-06-15 18:55:40.820660,0
2011-06-15 19:48:51.398152,1
2011-06-15 19:48:51.619481,0
2011-06-15 19:48:52.626600,1
2011-06-15 19:50:34.171734,0
2011-06-15 20:14:05.825583,1
2011-06-15 20:16:09.423355,0
2011-06-15 20:16:46.950394,1
2011-06-15 20:16:48.020154,2
2011-06-15 20:37:27.130068,1
2011-06-15 20:38:10.339511,0
2011-06-15 21:29:00.791943,1
2011-06-15 21:30:36.893553,0
2011-06-15 21:31:39.081332,1
2011-06-15 21:31:41.302653,2
2011-06-15 21:46:11.804776,1
2011-06-15 21:46:13.603896,0
2011-06-15 21:46:15.052323,1
2011-06-15 21:47:11.306859,2
2011-06-15 22:10:08.202147,1
2011-06-15 22:13:14.020578,0
2011-06-16 07:15:37.054254,1
2011-06-16 09:09:51.984359,2
2011-06-16 09:09:53.561281,3
2011-06-16 09:11:13.534261,2
2011-06-16 09:27:57.054846,3
2011-06-16 09:29:37.872683,2
2011-06-16 09:47:39.376210,1
2011-06-16 09:47:58.950382,0
2011-06-16 13:30:43.169356,1
2011-06-16 13:37:01.018403,2
2011-06-16 13:38:23.292677,1
2011-06-16 14:39:13.233180,2
2011-06-16 14:50:43.878814,1
2011-06-16 14:52:57.200296,0
2011-06-16 16:49:38.281924,1
2011-06-16 16:55:35.898975,2
2011-06-16 16:58:16.974175,1
2011-06-16 17:09:26.422917,0
2011-06-16 17:50:05.177664,1
2011-06-16 17:52:35.842271,0
2011-06-16 17:55:00.324215,1
2011-06-16 17:56:44.263038,2
2011-06-16 17:57:15.437842,1
2011-06-16 17:57:29.984294,0
2011-06-16 19:23:45.422823,1
2011-06-16 19:25:37.966899,0
2011-06-16 19:46:09.021923,1
2011-06-16 19:50:16.641991,0
2011-06-16 20:07:41.459556,1
2011-06-16 20:07:44.035780,0
2011-06-16 20:07:45.870567,1
2011-06-16 20:07:47.704948,0
2011-06-16 20:07:48.655945,1
2011-06-16 20:07:48.793034,0
2011-06-16 20:08:01.210784,1
2011-06-16 20:08:01.455718,0
2011-06-16 20:08:03.496340,1
2011-06-16 20:09:03.259294,2
2011-06-16 20:09:04.481398,1
2011-06-16 20:09:07.197399,0
2011-06-16 20:09:08.483567,1
2011-06-16 20:09:08.713444,0
2011-06-16 20:09:09.093049,1
2011-06-16 20:09:10.774338,0
2011-06-16 20:10:11.513098,1
2011-06-16 20:10:32.227289,0
2011-06-16 20:37:50.682628,1
2011-06-16 20:46:24.199102,2
2011-06-16 20:46:43.023009,1
2011-06-16 20:46:51.570885,2
2011-06-16 21:26:11.571198,3
2011-06-16 21:37:05.079128,2
2011-06-16 21:39:14.284625,1
2011-06-16 21:50:37.569598,2
2011-06-16 21:55:27.279277,1
2011-06-16 21:56:09.323380,2
2011-06-16 22:23:14.899848,1
2011-06-16 22:27:09.351829,0
2011-06-17 07:24:09.011424,1
2011-06-17 07:39:26.449460,2
2011-06-17 07:40:18.083999,1
2011-06-17 07:48:46.233278,0
2011-06-17 07:49:49.650360,1
2011-06-17 08:23:36.470977,2
2011-06-17 08:32:08.527560,3
2011-06-17 08:38:50.835603,2
2011-06-17 08:47:49.247346,3
2011-06-17 09:25:32.006138,2
2011-06-17 09:27:35.406741,3
2011-06-17 09:27:38.626347,2
2011-06-17 09:28:33.136881,1
2011-06-17 09:29:18.181450,0
2011-06-17 10:11:42.625518,1
2011-06-17 10:13:17.870864,0
2011-06-17 10:38:36.272180,1
2011-06-17 10:48:42.410812,2
2011-06-17 11:00:53.608410,3
2011-06-17 11:03:07.534281,2
2011-06-17 11:15:00.251608,1
2011-06-17 11:50:22.499755,2
2011-06-17 11:51:46.023092,1
2011-06-17 12:09:39.106588,0
2011-06-17 14:25:15.562822,1
2011-06-17 15:57:49.584496,2
2011-06-17 15:59:45.204453,1
2011-06-17 17:02:47.850986,0
2011-06-17 17:49:47.126949,1
2011-06-17 17:50:42.951765,2
2011-06-17 17:51:36.007199,1
2011-06-17 17:54:19.052877,0
2011-06-17 19:12:22.718216,1
2011-06-17 19:14:08.519982,2
2011-06-17 19:15:10.525803,1
2011-06-17 19:18:10.530672,0
2011-06-17 19:18:11.968624,1
2011-06-17 19:22:53.746106,0
2011-06-17 21:47:38.837517,1
2011-06-17 21:48:40.479818,2
2011-06-17 21:50:59.964713,3
2011-06-17 21:59:29.910779,2
2011-06-17 22:00:41.695967,1
2011-06-17 22:01:10.847786,2
2011-06-17 22:01:14.199701,1
2011-06-17 22:01:16.072998,2
2011-06-17 22:01:17.752258,1
2011-06-17 22:01:22.483530,2
2011-06-17 22:02:31.018714,1
2011-06-17 22:16:16.729312,2
2011-06-17 22:21:30.539958,1
2011-06-17 22:22:57.720747,2
2011-06-17 22:45:41.652861,1
2011-06-17 22:49:38.462403,0
2011-06-18 07:14:03.690463,1
2011-06-18 07:28:59.183105,0
2011-06-18 07:29:54.008110,1
2011-06-18 07:40:35.859784,2
2011-06-18 07:42:17.207855,3
2011-06-18 07:46:14.951157,2
2011-06-18 08:06:09.681137,3
2011-06-18 08:06:56.827791,2
2011-06-18 08:42:55.534027,1
2011-06-18 08:43:23.207472,0
2011-06-18 10:28:03.076990,1
2011-06-18 10:35:02.565718,2
2011-06-18 11:14:38.957990,3
2011-06-18 11:16:27.872750,2
2011-06-18 11:43:53.298155,1
2011-06-18 11:44:20.623995,2
2011-06-18 11:45:22.454253,1
2011-06-18 11:45:22.746170,0
2011-06-18 16:49:05.928977,1
2011-06-18 16:50:41.192653,0
2011-06-18 17:04:25.134159,1
2011-06-18 17:49:23.876984,2
2011-06-18 17:50:20.468996,3
2011-06-18 17:52:55.616443,2
2011-06-18 17:53:17.063404,1
2011-06-18 17:54:23.311732,0
2011-06-18 19:13:47.392861,1
2011-06-18 19:15:37.032766,2
2011-06-18 19:17:29.192920,1
2011-06-18 19:19:21.781094,2
2011-06-18 19:19:57.799823,1
2011-06-18 19:20:33.992787,2
2011-06-18 19:20:34.824501,1
2011-06-18 19:20:46.744154,0
2011-06-18 21:53:21.104582,1
2011-06-18 21:53:54.348661,2
2011-06-18 21:54:42.848960,3
2011-06-18 22:01:49.107386,2
2011-06-18 22:02:00.057350,3
2011-06-18 22:04:17.553271,2
2011-06-18 22:04:29.065295,1
2011-06-18 22:19:00.591794,2
2011-06-18 22:22:26.047794,1
2011-06-18 22:23:22.797215,2
2011-06-18 22:45:04.416740,1
2011-06-18 22:50:51.445558,0
2011-06-19 07:04:05.822014,1
2011-06-19 07:04:08.385503,2
2011-06-19 07:04:55.818773,3
2011-06-19 07:34:09.803325,4
2011-06-19 07:34:11.519913,5
2011-06-19 07:47:18.897779,4
2011-06-19 09:01:07.887305,3
2011-06-19 09:21:33.482802,2
2011-06-19 09:21:44.019807,3
2011-06-19 09:22:30.391173,2
2011-06-19 09:25:42.327800,1
2011-06-19 09:28:48.166258,0
2011-06-19 11:15:14.947886,1
2011-06-19 11:18:35.280457,0
2011-06-19 11:18:55.527800,1
2011-06-19 11:20:16.133298,0
