date,state
2011-07-05 21:25:37.377391,1
2011-07-05 21:26:12.033371,0
2011-07-07 21:11:08.396718,1
2011-07-07 21:11:20.209076,0
2011-07-09 21:27:54.517861,1
2011-07-09 21:28:03.226617,0
2011-07-12 13:52:51.872005,0
2011-07-13 21:17:31.139104,1
2011-07-13 21:18:12.001323,0
2011-07-25 20:54:30.953756,1
2011-07-25 21:09:34.421904,0
2011-07-26 21:02:13.481153,1
2011-07-26 21:24:04.159999,0
2011-08-06 21:57:59.314404,1
2011-08-06 21:58:30.831559,0
2011-08-27 21:29:57.509398,1
2011-08-27 21:30:11.941095,0
2011-09-03 21:54:22.021742,1
2011-09-03 21:54:35.435553,0
2011-09-09 21:47:44.427921,1
2011-09-09 21:48:39.147069,0
2011-09-10 21:24:36.831510,1
2011-09-10 21:38:07.197174,0
2011-09-18 21:13:40.241849,1
2011-09-18 21:16:27.802525,0
2011-09-23 19:25:13.599499,1
2011-09-23 19:25:20.996946,0
2011-09-24 21:23:49.082945,1
2011-09-24 21:37:21.497841,0
2011-09-28 21:38:28.827429,1
2011-09-28 21:38:47.062814,0
2011-10-03 21:28:32.479756,1
2011-10-03 21:35:35.661058,0
2011-10-09 20:54:17.735680,1
2011-10-09 20:54:25.071546,0
2011-10-11 21:13:18.309087,1
2011-10-11 21:38:42.872828,0
2011-10-23 21:10:09.389552,1
2011-10-23 21:34:40.812411,0
2011-10-30 21:08:37.842911,1
2011-10-30 21:23:06.742176,0
2011-11-05 21:49:25.563495,1
2011-11-05 21:52:20.199105,0
2011-11-07 20:46:15.033059,1
2011-11-07 21:17:36.174891,0
2011-11-09 21:50:30.848915,1
2011-11-09 21:52:06.196631,0
2011-11-13 21:21:26.576484,1
2011-11-13 21:31:00.938839,0
2011-12-03 09:42:02.372964,0
2011-12-04 20:47:23.579987,1
2011-12-04 20:52:53.983514,0
2011-12-08 17:41:53.767200,1
2011-12-08 22:07:37.050308,0
2011-12-18 21:22:32.120501,1
2011-12-18 21:35:10.397474,0
2011-12-26 20:07:16.620346,1
2011-12-26 20:47:07.974307,0
2012-01-01 21:05:40.213496,1
2012-01-01 21:11:26.028257,0
2012-01-08 21:00:16.753101,1
2012-01-08 21:37:41.636597,0
2012-01-12 17:33:53.714198,1
2012-01-12 22:12:08.139889,0
2012-01-15 21:08:30.188479,1
2012-01-15 21:16:45.200303,0
2012-01-23 20:58:03.924689,1
2012-01-23 21:51:38.118232,0
2012-01-27 13:40:43.610815,0
2012-01-27 13:48:46.572341,0
2012-01-30 20:28:38.552803,1
2012-01-30 21:01:50.214218,0
2012-02-01 20:42:27.605131,1
2012-02-01 21:12:10.302431,0
2012-02-02 20:40:10.790926,1
2012-02-02 21:05:03.751426,0
2012-02-03 21:06:07.690297,1
2012-02-03 21:06:08.145733,0
2012-02-03 21:06:09.718734,1
2012-02-03 21:35:42.964747,0
2012-02-04 20:53:33.735494,1
2012-02-04 21:16:58.906831,0
2012-02-05 20:30:24.299271,1
2012-02-05 21:13:19.671595,0
2012-02-06 20:16:26.938916,1
2012-02-06 20:47:56.347015,0
2012-02-07 20:25:53.902290,1
2012-02-07 20:48:04.951110,0
2012-02-08 20:51:36.585278,1
2012-02-08 21:16:25.913408,0
2012-02-10 20:59:04.648132,1
2012-02-10 21:23:11.986819,0
2012-02-11 20:26:26.639969,1
2012-02-11 20:51:39.983763,0
2012-02-12 20:55:38.002276,1
2012-02-12 21:25:45.800333,0
2012-02-13 20:46:11.434725,1
2012-02-13 21:09:12.086723,0
2012-02-14 19:43:41.565521,1
2012-02-14 20:13:52.496320,0
2012-02-14 20:14:04.845339,1
2012-02-14 20:18:36.423455,0
2012-02-15 20:24:55.214503,1
2012-02-15 20:48:43.243146,0
2012-02-16 20:22:18.067517,1
2012-02-16 20:50:38.657744,0
2012-02-17 15:23:46.903742,1
2012-02-17 15:23:47.460672,0
2012-02-17 15:23:48.440360,1
2012-02-17 15:23:54.096970,0
2012-02-17 15:24:00.273709,1
2012-02-17 16:33:26.251977,0
2012-02-17 21:47:53.412468,1
2012-02-17 22:03:43.476026,0
2012-02-20 20:32:37.116766,1
2012-02-20 20:38:59.268832,0
2012-02-21 20:49:40.971340,1
2012-02-21 21:01:59.793507,0
2012-02-22 21:13:31.195339,1
2012-02-22 21:35:14.740171,0
2012-02-23 20:16:53.526046,1
2012-02-23 20:38:09.481515,0
2012-02-24 20:55:33.617872,1
2012-02-24 21:20:26.891256,0
2012-02-25 21:06:48.778288,1
2012-02-25 21:32:30.671943,0
2012-02-26 20:32:15.398601,1
2012-02-26 21:01:01.242777,0
2012-02-27 20:06:20.688743,1
2012-02-27 20:37:33.163960,0
2012-02-28 20:43:23.100760,1
2012-02-28 21:07:57.175548,0
2012-02-29 20:39:41.044920,1
2012-02-29 21:04:31.926314,0
2012-03-01 20:46:18.935306,1
2012-03-01 21:13:50.169708,0
