,Houses,Activity,Occurred,Average Duration,Avg Duration Dev Std,Avg Duration Dev Std (min),Average occurred (days)
0,HH101,Bathe,59,00:08:09,301004.3928,00:05:01,0.97
1,HH101,Bed_Toilet_Transition,17,00:09:38,270147.9692,00:04:30,0.28
2,HH101,Cook,13,00:10:10,227438.9784,00:03:47,0.21
3,HH101,Cook_Breakfast,79,00:09:44,283421.0016,00:04:43,1.3
4,HH101,Cook_Dinner,41,00:09:04,305545.1124,00:05:05,0.67
5,HH101,Cook_Lunch,18,00:07:33,255534.3835,00:04:15,0.3
6,HH101,Dress,139,00:08:26,280445.3043,00:04:40,2.28
7,HH101,Eat,13,00:08:57,308476.703,00:05:08,0.21
8,HH101,Eat_Breakfast,58,00:08:01,259890.1699,00:04:19,0.95
9,HH101,Eat_Dinner,22,00:09:22,331991.6841,00:05:31,0.36
10,HH101,Eat_Lunch,14,00:09:16,316821.8721,00:05:16,0.23
11,HH101,Enter_Home,216,00:07:54,291747.8659,00:04:51,3.54
12,HH101,Entertain_Guests,5,00:09:20,226665.0014,00:03:46,0.08
13,HH101,Evening_Meds,55,00:08:49,289089.1415,00:04:49,0.9
14,HH101,Groom,24,00:08:43,256373.7415,00:04:16,0.39
15,HH101,Leave_Home,216,00:08:32,281119.7611,00:04:41,3.54
16,HH101,Morning_Meds,56,00:09:15,292027.4279,00:04:52,0.92
17,HH101,Personal_Hygiene,154,00:08:55,273152.1655,00:04:33,2.52
18,HH101,Phone,37,00:09:21,319574.3513,00:05:19,0.61
19,HH101,Read,53,00:08:58,296960.4635,00:04:56,0.87
20,HH101,Relax,92,00:08:16,291048.3216,00:04:51,1.51
21,HH101,Sleep,79,00:08:24,296907.3498,00:04:56,1.3
22,HH101,Sleep_Out_Of_Bed,205,00:08:09,298171.4927,00:04:58,3.36
23,HH101,Toilet,352,00:08:06,296286.8058,00:04:56,5.77
24,HH101,Wash_Breakfast_Dishes,47,00:07:40,313596.5423,00:05:13,0.77
25,HH101,Wash_Dinner_Dishes,18,00:09:01,290776.1748,00:04:50,0.3
26,HH101,Wash_Dishes,31,00:07:19,286131.639,00:04:46,0.51
27,HH101,Wash_Lunch_Dishes,10,00:06:50,275294.1355,00:04:35,0.16
28,HH101,Watch_TV,333,00:07:49,298456.3472,00:04:58,5.46
